model_id,score,variant
MiniMaxAI/MiniMax-M2.1-TEE,0.9933875089435485,overall_all_cells
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,0.7865725133851589,overall_all_cells
deepseek-ai/DeepSeek-V3.1-Terminus,0.8455492186833585,overall_all_cells
mistralai/Devstral-2-123B-Instruct-2512-TEE,0.8395373852905554,overall_all_cells
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,0.4453440330553793,overall_all_cells
openai/gpt-oss-120b-TEE,0.5880542186997205,overall_all_cells
tngtech/DeepSeek-TNG-R1T2-Chimera,0.30688754324901085,overall_all_cells
zai-org/GLM-4.6-FP8,0.8068619111324792,overall_all_cells
zai-org/GLM-4.7-FP8,0.9226033945271904,overall_all_cells
zai-org/GLM-4.7-Flash,0.6923750051408667,overall_all_cells
MiniMaxAI/MiniMax-M2.1-TEE,0.9918301994471029,sota_only
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,0.8510788634818842,sota_only
deepseek-ai/DeepSeek-V3.1-Terminus,0.9339986693075403,sota_only
mistralai/Devstral-2-123B-Instruct-2512-TEE,0.8766609836273145,sota_only
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,0.3239810480484162,sota_only
openai/gpt-oss-120b-TEE,0.5662575612160264,sota_only
tngtech/DeepSeek-TNG-R1T2-Chimera,0.6184019498058486,sota_only
zai-org/GLM-4.6-FP8,0.9525507023202364,sota_only
zai-org/GLM-4.7-FP8,0.8352673299001008,sota_only
zai-org/GLM-4.7-Flash,0.2524379720667962,sota_only
MiniMaxAI/MiniMax-M2.1-TEE,1.0,best_budget_per_comp
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,0.9658649493846732,best_budget_per_comp
deepseek-ai/DeepSeek-V3.1-Terminus,0.9409411169385662,best_budget_per_comp
mistralai/Devstral-2-123B-Instruct-2512-TEE,0.9159295177305373,best_budget_per_comp
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,0.7938961448131525,best_budget_per_comp
openai/gpt-oss-120b-TEE,0.8830912640646186,best_budget_per_comp
tngtech/DeepSeek-TNG-R1T2-Chimera,0.6929641038053805,best_budget_per_comp
zai-org/GLM-4.6-FP8,0.9777488052682535,best_budget_per_comp
zai-org/GLM-4.7-FP8,0.9840858269894542,best_budget_per_comp
zai-org/GLM-4.7-Flash,0.9792281282466675,best_budget_per_comp
