run_id,created_at,competition_id,status,provider,model_id,mode,prompt_profile,temperature,max_tokens,metric_name,score_raw,score_normalized,secondary_r2,runtime_seconds,budget_time_seconds,seed,submission_sha256,normalized_submission_sha256,time_used_frac
bank-customer-churn-ict-u-ai_0fc8ba4b96db,2026-02-01T10:56:45-08:00,bank-customer-churn-ict-u-ai,success,chutes,zai-org/GLM-4.6-FP8,pf_budgetaware,budget-aware,,,auc,0.928721855772017,0.928721855772017,,218.141485,600,1841979673,d61d4294379510d1…,38ca7797c0d2d802…,0.3636
bank-customer-churn-ict-u-ai_8feb8929e98b,2026-02-01T10:53:06-08:00,bank-customer-churn-ict-u-ai,success,chutes,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,pf_budgetaware,budget-aware,,,auc,0.927751018390687,0.927751018390687,,433.254955,600,774892387,8e29adf6d1e93331…,0bd03c26fd51f285…,0.7221
bank-customer-churn-ict-u-ai_a7c5ed1df61a,2026-02-01T12:28:11-08:00,bank-customer-churn-ict-u-ai,success,chutes,zai-org/GLM-4.6-FP8,pf_budgetaware,budget-aware,,,auc,0.927745564248095,0.927745564248095,,412.754808,1200,1805218234,0d1d88e5ea0b83fd…,1cbf29abc2a247f2…,0.344
bank-customer-churn-ict-u-ai_c69a394a768d,2026-02-01T09:33:26-08:00,bank-customer-churn-ict-u-ai,success,chutes,zai-org/GLM-4.6-FP8,pf_budgetaware,budget-aware,,,auc,0.925937515978933,0.925937515978933,,152.286735,240,1649235199,5bdf32e0bd0ba28e…,33656dac95754de0…,0.6345
bank-customer-churn-ict-u-ai_90ce3235f807,2026-02-01T09:32:52-08:00,bank-customer-churn-ict-u-ai,success,chutes,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,pf_budgetaware,budget-aware,,,auc,0.923504968383017,0.923504968383017,,120.719295,240,2103738413,7ffd9eed20e4f5f4…,7ffd9eed20e4f5f4…,0.503
bank-customer-churn-ict-u-ai_9c321df31ddc,2026-02-01T12:39:13-08:00,bank-customer-churn-ict-u-ai,success,chutes,deepseek-ai/DeepSeek-V3.1-Terminus,pf_budgetaware,budget-aware,,,auc,0.92331816399925,0.92331816399925,,1201.651955,1200,1352126496,c7a4012ab445f0aa…,d5058c502f03acb9…,1.0014
bank-customer-churn-ict-u-ai_bcbbc06e931b,2026-02-01T10:55:54-08:00,bank-customer-churn-ict-u-ai,success,chutes,deepseek-ai/DeepSeek-V3.1-Terminus,pf_budgetaware,budget-aware,,,auc,0.922941146392596,0.922941146392596,,600.591264,600,765542763,aef879e9edaa1281…,d0113baff286ce23…,1.001
bank-customer-churn-ict-u-ai_203fa37573d9,2026-02-01T12:21:18-08:00,bank-customer-churn-ict-u-ai,success,chutes,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,pf_budgetaware,budget-aware,,,auc,0.91786572582707,0.91786572582707,,126.710806,1200,611796288,ce156c6f8dea4dca…,ce156c6f8dea4dca…,0.1056
bank-customer-churn-ict-u-ai_084d5c6b6640,2026-02-01T11:06:47-08:00,bank-customer-churn-ict-u-ai,success,chutes,microsoft/Phi-3.5-mini-instruct,pf_budgetaware,budget-aware,,,auc,0.888519370728298,0.888519370728298,,601.625178,600,1975576245,56bd8427341dbd9d…,18415da7a9222490…,1.0027
bank-customer-churn-ict-u-ai_0e1aabb26349,2026-02-01T11:05:55-08:00,bank-customer-churn-ict-u-ai,success,chutes,meta-llama/Meta-Llama-3.1-8B-Instruct,pf_budgetaware,budget-aware,,,auc,0.88805917744712,0.88805917744712,,601.556971,600,493405451,0a720027ab76f416…,8ed8c5cbfd773e34…,1.0026
bank-customer-churn-ict-u-ai_e03f7a19917a,2026-02-01T09:37:28-08:00,bank-customer-churn-ict-u-ai,success,chutes,microsoft/Phi-3.5-mini-instruct,pf_budgetaware,budget-aware,,,auc,0.88805917744712,0.88805917744712,,241.586627,240,259211013,0a720027ab76f416…,8ed8c5cbfd773e34…,1.0066
