model_id,competition_id,points,rank,model_label
MiniMaxAI/MiniMax-M2.1-TEE,bank-customer-churn-ict-u-ai,1.0,1.0,MiniMax-M2.1-TEE
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,bank-customer-churn-ict-u-ai,1.0,2.0,Qwen3-Coder-480B-A35B-Instruct-FP8
openai/gpt-oss-120b-TEE,bank-customer-churn-ict-u-ai,1.0,3.0,gpt-oss-120b-TEE
mistralai/Devstral-2-123B-Instruct-2512-TEE,bank-customer-churn-ict-u-ai,0.8888888888888888,4.0,Devstral-2-123B-Instruct-2512-TEE
zai-org/GLM-4.6-FP8,bank-customer-churn-ict-u-ai,0.8888888888888888,5.0,GLM-4.6-FP8
zai-org/GLM-4.7-Flash,bank-customer-churn-ict-u-ai,0.7777777777777778,6.0,GLM-4.7-Flash
deepseek-ai/DeepSeek-V3.1-Terminus,bank-customer-churn-ict-u-ai,0.6666666666666666,7.0,DeepSeek-V3.1-Terminus
zai-org/GLM-4.7-FP8,bank-customer-churn-ict-u-ai,0.5555555555555556,8.0,GLM-4.7-FP8
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,bank-customer-churn-ict-u-ai,0.3333333333333333,9.0,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
tngtech/DeepSeek-TNG-R1T2-Chimera,bank-customer-churn-ict-u-ai,0.2222222222222222,10.0,DeepSeek-TNG-R1T2-Chimera
MiniMaxAI/MiniMax-M2.1-TEE,foot-traffic-wuerzburg-retail-forecasting-2-0,1.0,1.0,MiniMax-M2.1-TEE
deepseek-ai/DeepSeek-V3.1-Terminus,foot-traffic-wuerzburg-retail-forecasting-2-0,0.8888888888888888,2.0,DeepSeek-V3.1-Terminus
zai-org/GLM-4.6-FP8,foot-traffic-wuerzburg-retail-forecasting-2-0,0.8888888888888888,3.0,GLM-4.6-FP8
zai-org/GLM-4.7-FP8,foot-traffic-wuerzburg-retail-forecasting-2-0,0.8888888888888888,4.0,GLM-4.7-FP8
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,foot-traffic-wuerzburg-retail-forecasting-2-0,0.7777777777777778,5.0,Qwen3-Coder-480B-A35B-Instruct-FP8
mistralai/Devstral-2-123B-Instruct-2512-TEE,foot-traffic-wuerzburg-retail-forecasting-2-0,0.5555555555555556,6.0,Devstral-2-123B-Instruct-2512-TEE
zai-org/GLM-4.7-Flash,foot-traffic-wuerzburg-retail-forecasting-2-0,0.5555555555555556,7.0,GLM-4.7-Flash
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,foot-traffic-wuerzburg-retail-forecasting-2-0,0.3333333333333333,8.0,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
openai/gpt-oss-120b-TEE,foot-traffic-wuerzburg-retail-forecasting-2-0,0.2222222222222222,9.0,gpt-oss-120b-TEE
tngtech/DeepSeek-TNG-R1T2-Chimera,foot-traffic-wuerzburg-retail-forecasting-2-0,0.1111111111111111,10.0,DeepSeek-TNG-R1T2-Chimera
MiniMaxAI/MiniMax-M2.1-TEE,playground-series-s5e10,1.0,1.0,MiniMax-M2.1-TEE
zai-org/GLM-4.6-FP8,playground-series-s5e10,1.0,2.0,GLM-4.6-FP8
zai-org/GLM-4.7-FP8,playground-series-s5e10,0.8888888888888888,3.0,GLM-4.7-FP8
zai-org/GLM-4.7-Flash,playground-series-s5e10,0.8888888888888888,4.0,GLM-4.7-Flash
deepseek-ai/DeepSeek-V3.1-Terminus,playground-series-s5e10,0.7777777777777778,5.0,DeepSeek-V3.1-Terminus
mistralai/Devstral-2-123B-Instruct-2512-TEE,playground-series-s5e10,0.7777777777777778,6.0,Devstral-2-123B-Instruct-2512-TEE
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,playground-series-s5e10,0.6666666666666666,7.0,Qwen3-Coder-480B-A35B-Instruct-FP8
tngtech/DeepSeek-TNG-R1T2-Chimera,playground-series-s5e10,0.4444444444444444,8.0,DeepSeek-TNG-R1T2-Chimera
openai/gpt-oss-120b-TEE,playground-series-s5e10,0.3333333333333333,9.0,gpt-oss-120b-TEE
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,playground-series-s5e10,0.2222222222222222,10.0,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
MiniMaxAI/MiniMax-M2.1-TEE,playground-series-s6e1,1.0,1.0,MiniMax-M2.1-TEE
zai-org/GLM-4.7-FP8,playground-series-s6e1,1.0,2.0,GLM-4.7-FP8
zai-org/GLM-4.6-FP8,playground-series-s6e1,0.8888888888888888,3.0,GLM-4.6-FP8
deepseek-ai/DeepSeek-V3.1-Terminus,playground-series-s6e1,0.7777777777777778,4.0,DeepSeek-V3.1-Terminus
openai/gpt-oss-120b-TEE,playground-series-s6e1,0.7777777777777778,5.0,gpt-oss-120b-TEE
zai-org/GLM-4.7-Flash,playground-series-s6e1,0.7777777777777778,6.0,GLM-4.7-Flash
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,playground-series-s6e1,0.6666666666666666,7.0,Qwen3-Coder-480B-A35B-Instruct-FP8
mistralai/Devstral-2-123B-Instruct-2512-TEE,playground-series-s6e1,0.6666666666666666,8.0,Devstral-2-123B-Instruct-2512-TEE
tngtech/DeepSeek-TNG-R1T2-Chimera,playground-series-s6e1,0.6666666666666666,9.0,DeepSeek-TNG-R1T2-Chimera
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,playground-series-s6e1,0.4444444444444444,10.0,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
