model_id,performance_score,model_label,stability_rel_iqr,success_rate,attempts_total
MiniMaxAI/MiniMax-M2.1-TEE,1.0,MiniMax-M2.1-TEE,0.001657115528542261,0.8955223880597015,67.0
zai-org/GLM-4.7-FP8,0.9840858269894542,GLM-4.7-FP8,0.0032773608535776443,0.9090909090909091,66.0
zai-org/GLM-4.7-Flash,0.9792281282466675,GLM-4.7-Flash,0.008436723965279117,0.9375,64.0
zai-org/GLM-4.6-FP8,0.9777488052682535,GLM-4.6-FP8,0.006333750067941138,0.9523809523809523,63.0
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,0.9658649493846732,Qwen3-Coder-480B-A35B-Instruct-FP8,0.003929312758730267,1.0,60.0
deepseek-ai/DeepSeek-V3.1-Terminus,0.9409411169385662,DeepSeek-V3.1-Terminus,0.004944574536371319,0.8333333333333334,72.0
mistralai/Devstral-2-123B-Instruct-2512-TEE,0.9159295177305373,Devstral-2-123B-Instruct-2512-TEE,0.012849817094625342,0.9090909090909091,66.0
openai/gpt-oss-120b-TEE,0.8830912640646186,gpt-oss-120b-TEE,0.003933626344673001,0.7244897959183674,98.0
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,0.7938961448131525,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,0.05562274397566226,0.8333333333333334,72.0
tngtech/DeepSeek-TNG-R1T2-Chimera,0.6929641038053805,DeepSeek-TNG-R1T2-Chimera,0.05892064663500309,0.7407407407407407,81.0
