model_id,score,variant
MiniMaxAI/MiniMax-M2.1-TEE,0.9166666666666666,overall_all_cells
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,0.5462962962962963,overall_all_cells
deepseek-ai/DeepSeek-V3.1-Terminus,0.5555555555555555,overall_all_cells
mistralai/Devstral-2-123B-Instruct-2512-TEE,0.5185185185185185,overall_all_cells
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,0.23148148148148148,overall_all_cells
openai/gpt-oss-120b-TEE,0.3703703703703704,overall_all_cells
tngtech/DeepSeek-TNG-R1T2-Chimera,0.16666666666666666,overall_all_cells
zai-org/GLM-4.6-FP8,0.5555555555555555,overall_all_cells
zai-org/GLM-4.7-FP8,0.6759259259259259,overall_all_cells
zai-org/GLM-4.7-Flash,0.46296296296296297,overall_all_cells
MiniMaxAI/MiniMax-M2.1-TEE,0.9166666666666666,sota_only
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,0.7222222222222222,sota_only
deepseek-ai/DeepSeek-V3.1-Terminus,0.7777777777777778,sota_only
mistralai/Devstral-2-123B-Instruct-2512-TEE,0.5277777777777778,sota_only
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,0.16666666666666666,sota_only
openai/gpt-oss-120b-TEE,0.3888888888888889,sota_only
tngtech/DeepSeek-TNG-R1T2-Chimera,0.2222222222222222,sota_only
zai-org/GLM-4.6-FP8,0.6388888888888888,sota_only
zai-org/GLM-4.7-FP8,0.5277777777777778,sota_only
zai-org/GLM-4.7-Flash,0.1111111111111111,sota_only
MiniMaxAI/MiniMax-M2.1-TEE,1.0,best_budget_per_comp
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,0.7777777777777778,best_budget_per_comp
deepseek-ai/DeepSeek-V3.1-Terminus,0.7777777777777778,best_budget_per_comp
mistralai/Devstral-2-123B-Instruct-2512-TEE,0.7222222222222222,best_budget_per_comp
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,0.3333333333333333,best_budget_per_comp
openai/gpt-oss-120b-TEE,0.5833333333333333,best_budget_per_comp
tngtech/DeepSeek-TNG-R1T2-Chimera,0.3611111111111111,best_budget_per_comp
zai-org/GLM-4.6-FP8,0.9166666666666666,best_budget_per_comp
zai-org/GLM-4.7-FP8,0.8333333333333333,best_budget_per_comp
zai-org/GLM-4.7-Flash,0.75,best_budget_per_comp
