model_id,model_label,gain_240_to_600,gain_600_to_1200
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,Qwen3-Coder-480B-A35B-Instruct-FP8,0.4722222222222222,0.02777777777777779
zai-org/GLM-4.7-FP8,GLM-4.7-FP8,0.16666666666666663,-0.30555555555555547
mistralai/Devstral-2-123B-Instruct-2512-TEE,Devstral-2-123B-Instruct-2512-TEE,0.08333333333333337,-0.02777777777777779
openai/gpt-oss-120b-TEE,gpt-oss-120b-TEE,0.05555555555555558,0.0
zai-org/GLM-4.7-Flash,GLM-4.7-Flash,0.0,-0.5277777777777777
tngtech/DeepSeek-TNG-R1T2-Chimera,DeepSeek-TNG-R1T2-Chimera,-0.05555555555555555,0.1111111111111111
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,-0.08333333333333331,-0.05555555555555555
deepseek-ai/DeepSeek-V3.1-Terminus,DeepSeek-V3.1-Terminus,-0.11111111111111116,0.38888888888888895
MiniMaxAI/MiniMax-M2.1-TEE,MiniMax-M2.1-TEE,-0.16666666666666674,0.08333333333333337
zai-org/GLM-4.6-FP8,GLM-4.6-FP8,-0.3611111111111111,0.3055555555555555
